Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13 ,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Number of jobs in area - 2013,Employment per head of resident WA population - 2013,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
Enfield - Cockfosters,00AKGP,E05000196,14100.0,2250.0,9100.0,2750.0,16.1,64.5,19.4,40.7,39.0,10.4,1370.2,26.3,30.5,9.5,54.0,82.9,86.1,9.0,20.6,119.5,0.5,2.0,5885.0,66.9,3600.0,0.4,17.1,472000.0,185.0,43570.0,5356.0,21.9,30.1,9.4,38.6,68.7,12.0,17.4,5.1,45.4,49.5,8.8,7.8,3.1,1.6,10.2,4.0,48.4,496.0,37.5,339.7,0.9,19.0,35.0,777.3,226.2,46.4,11.6,0.6,68.8,1.3,2.6,0.7,33.7
Enfield - Edmonton Green,00AKGQ,E05000197,18350.0,4950.0,11750.0,1600.0,27.1,64.2,8.8,32.0,30.0,3.1,5951.6,60.6,46.8,21.4,80.0,79.3,84.3,17.6,30.1,163.9,1.5,2.0,6144.0,53.8,7500.0,0.6,54.4,210000.0,119.0,26010.0,6999.0,4.8,15.6,20.8,58.7,29.7,43.1,23.0,36.4,63.4,0.1,26.4,29.5,8.3,6.2,27.4,14.8,58.5,14.0,100.0,293.6,2.1,30.5,19.5,644.3,203.8,117.7,36.7,0.6,33.2,0.6,3.9,1.2,34.1
Enfield - Enfield Highway,00AKGR,E05000198,16350.0,4050.0,10500.0,1800.0,24.9,64.2,10.9,33.7,31.0,4.6,3576.1,42.2,34.3,14.5,67.5,81.0,84.9,14.1,27.0,127.8,0.8,3.0,6112.0,60.1,8600.0,0.8,19.8,250000.0,157.0,29450.0,5943.0,4.5,22.0,38.8,34.6,52.5,24.4,20.7,21.1,77.7,1.2,18.8,19.1,6.2,4.0,26.7,13.3,60.4,168.0,100.0,311.3,1.7,30.1,18.6,638.3,205.5,82.4,25.7,1.0,40.6,1.0,2.5,1.7,30.0
Enfield - Enfield Lock,00AKGS,E05000199,17000.0,4500.0,11100.0,1400.0,26.4,65.4,8.3,32.3,31.0,3.3,5166.7,45.1,33.8,14.0,78.8,76.7,81.6,16.3,26.7,113.2,0.4,2.0,6586.0,62.0,4100.0,0.4,22.9,217250.0,204.0,30240.0,6422.0,6.8,20.4,32.6,40.2,49.9,22.7,24.1,15.5,81.9,2.7,19.5,20.6,5.8,4.1,27.5,14.0,61.0,199.0,100.0,303.4,2.2,26.5,23.5,659.6,211.5,69.2,23.6,0.7,39.6,0.9,2.6,1.7,29.6
Enfield - Grange,00AKGT,E05000200,13300.0,2300.0,8400.0,2600.0,17.3,63.1,19.6,41.3,41.0,3.3,4015.2,19.6,22.1,6.4,53.3,83.5,86.6,8.6,11.7,116.8,0.5,1.0,6045.0,74.8,5800.0,0.7,12.3,360000.0,243.0,45960.0,5396.0,15.5,32.6,13.5,38.4,77.2,3.4,18.0,3.7,56.1,40.2,6.6,5.2,7.7,1.4,7.6,3.3,44.3,575.0,12.5,364.5,0.9,16.1,39.1,762.6,221.6,59.4,13.0,0.4,27.4,1.3,3.1,1.2,40.8
Enfield - Haselbury,00AKGU,E05000201,16500.0,4050.0,10800.0,1700.0,24.5,65.3,10.2,33.9,32.0,1.8,9277.8,54.3,46.0,22.1,71.1,79.0,85.4,14.5,26.9,103.7,0.5,3.0,6292.0,59.3,1900.0,0.2,39.8,260000.0,133.0,29600.0,5927.0,5.9,21.8,40.3,31.9,50.7,19.5,27.5,16.0,83.6,0.3,19.5,19.6,6.4,4.4,23.8,12.5,56.0,162.0,100.0,307.5,2.1,27.2,21.4,677.2,214.8,61.1,19.9,0.5,27.0,0.8,3.0,1.1,33.3
Enfield - Highlands,00AKGW,E05000202,13550.0,2200.0,8700.0,2600.0,16.4,64.3,19.3,41.4,41.0,5.1,2647.1,20.8,20.9,5.4,62.7,82.5,87.2,8.9,19.4,163.1,0.3,2.0,6120.0,72.9,5300.0,0.6,11.6,375000.0,237.0,43540.0,5696.0,14.5,34.0,13.4,38.0,74.2,7.4,17.0,4.8,58.0,37.2,10.1,6.7,3.8,1.3,11.9,2.9,35.4,488.0,50.0,347.0,0.9,18.7,35.1,719.0,215.8,40.4,11.8,0.3,56.4,1.2,2.7,1.2,38.4
Enfield - Jubilee,00AKGX,E05000203,14600.0,3500.0,9350.0,1750.0,24.1,64.1,11.9,35.4,34.0,3.9,3782.1,50.9,40.8,16.9,83.2,78.8,82.4,12.8,24.3,119.5,0.3,2.0,5744.0,62.2,2300.0,0.2,29.8,250000.0,137.0,30800.0,5420.0,5.3,19.9,47.2,27.5,57.7,15.5,24.8,14.8,84.8,0.4,17.2,17.9,6.5,3.9,23.6,9.5,52.2,205.0,100.0,310.4,1.5,28.5,20.9,624.8,206.4,58.8,18.8,0.5,60.6,1.0,2.5,1.0,31.1
Enfield - Lower Edmonton,00AKGY,E05000204,16700.0,4700.0,10300.0,1700.0,28.0,61.8,10.2,32.7,31.0,2.2,7681.8,58.9,46.1,19.5,98.2,79.6,82.5,13.2,27.6,117.7,0.3,2.0,6057.0,57.9,3000.0,0.3,41.8,248000.0,161.0,28110.0,6179.0,6.9,15.1,44.7,33.3,44.8,27.4,24.4,15.3,84.5,0.2,20.1,22.7,6.9,5.3,25.2,13.6,53.7,119.0,100.0,304.0,2.2,28.5,20.0,629.4,201.0,56.2,21.9,0.2,40.6,0.7,3.2,1.2,33.0
Enfield - Palmers Green,00AKGZ,E05000205,15650.0,2900.0,10550.0,2250.0,18.5,67.2,14.2,37.5,35.0,1.9,8263.2,35.4,41.4,18.1,67.8,80.9,85.7,11.0,22.5,114.7,0.5,3.0,7225.0,70.2,3800.0,0.4,34.7,353500.0,128.0,37970.0,5898.0,3.1,19.6,41.4,35.9,63.0,9.0,25.4,6.6,87.5,5.9,12.9,9.4,4.0,2.3,13.5,4.7,41.0,333.0,77.8,336.5,1.0,20.6,33.5,732.4,220.2,70.3,16.4,0.2,15.4,1.0,2.5,1.5,33.9
Enfield - Ponders End,00AKHA,E05000206,17050.0,4400.0,11100.0,1550.0,25.7,65.2,9.1,32.4,30.0,3.5,4771.4,54.6,43.5,19.0,68.5,76.7,84.4,16.7,29.6,130.4,0.8,1.0,5902.0,58.0,6500.0,0.6,26.0,248000.0,118.0,28560.0,5787.0,5.0,15.2,34.9,45.0,45.5,25.6,25.4,23.7,76.2,0.2,19.6,20.0,5.6,5.3,22.0,12.6,54.8,127.0,100.0,313.5,1.6,26.9,21.0,634.1,207.5,80.6,24.3,0.4,44.5,0.8,3.3,1.4,29.7
Enfield - Southbury,00AKHB,E05000207,14950.0,3700.0,9700.0,1500.0,24.7,65.1,10.2,33.9,33.0,2.9,5172.4,36.2,30.2,12.0,75.1,79.8,85.7,12.0,21.4,116.6,0.4,3.0,6183.0,65.0,11000.0,1.1,16.4,265000.0,304.0,33260.0,5650.0,3.3,14.1,43.4,39.2,53.5,24.0,21.0,16.4,82.4,1.2,16.8,17.4,5.5,3.3,21.1,10.5,56.3,222.0,100.0,327.2,1.5,24.6,25.4,641.5,209.1,98.8,25.1,0.7,29.3,0.9,3.1,2.0,34.0
Enfield - Southgate,00AKHC,E05000208,14800.0,2850.0,9900.0,2050.0,19.2,66.9,13.9,37.8,36.0,2.7,5537.0,31.6,33.2,11.7,62.0,80.9,84.1,9.5,17.5,107.9,0.4,1.0,6886.0,71.1,6100.0,0.6,26.1,347500.0,172.0,41520.0,6065.0,7.2,30.7,13.2,49.0,61.7,7.4,28.3,3.1,69.7,27.2,9.4,8.8,2.9,1.6,11.2,5.0,43.7,513.0,25.0,360.6,0.8,16.1,41.2,746.4,221.2,62.6,17.5,0.4,27.1,1.1,3.1,0.8,34.0
Enfield - Southgate Green,00AKHD,E05000209,14400.0,2550.0,9550.0,2250.0,17.9,66.4,15.7,38.9,37.0,2.6,5538.5,33.2,36.2,14.0,57.2,81.2,84.7,9.7,21.8,111.8,0.4,2.0,6464.0,70.4,2500.0,0.3,34.8,500000.0,127.0,42750.0,5244.0,5.2,38.1,20.2,36.4,65.3,12.0,21.4,7.0,58.2,34.8,9.7,7.9,3.2,2.1,10.7,4.4,47.7,402.0,33.3,348.5,0.9,16.3,40.0,796.0,231.3,43.2,10.2,0.3,20.6,1.1,3.9,1.5,35.8
Enfield - Town,00AKHE,E05000210,15150.0,3000.0,9750.0,2400.0,19.8,64.2,15.9,38.9,39.0,2.2,6954.5,18.0,17.1,4.4,71.0,82.1,85.4,10.8,20.6,120.5,0.7,4.0,7349.0,75.9,4200.0,0.4,8.4,350000.0,240.0,42300.0,6233.0,2.7,29.2,36.6,31.5,74.7,6.1,17.3,5.8,88.6,5.6,8.8,7.3,3.1,1.6,11.1,3.9,45.8,520.0,11.1,327.9,0.7,17.4,33.0,659.9,207.8,50.3,13.3,0.3,16.0,1.2,2.6,1.6,39.5
Enfield - Turkey Street,00AKHF,E05000211,14700.0,3600.0,9350.0,1750.0,24.4,63.7,11.8,34.6,33.0,2.3,6434.8,37.9,31.0,14.1,78.2,78.1,82.3,13.4,25.8,131.1,0.4,1.0,5507.0,60.9,2400.0,0.3,17.1,250000.0,147.0,28960.0,5467.0,4.3,26.6,36.1,33.1,52.1,26.3,19.1,17.0,82.1,0.9,20.6,19.7,6.6,4.4,27.4,13.1,60.4,141.0,100.0,306.5,2.0,30.2,17.9,633.3,206.6,74.5,23.7,0.3,30.5,1.0,2.5,1.6,29.4
Enfield - Upper Edmonton,00AKHG,E05000212,18600.0,4800.0,12050.0,1750.0,25.7,65.0,9.3,32.8,31.0,2.7,6777.8,58.0,48.4,22.7,66.0,76.1,78.6,14.7,30.1,170.4,0.6,4.0,6599.0,58.4,8500.0,0.7,40.8,250000.0,118.0,28480.0,6318.0,5.9,16.2,40.4,37.3,44.0,29.8,24.0,26.3,73.7,0.0,21.0,20.6,6.4,4.4,24.2,13.2,56.3,74.0,100.0,290.8,2.0,28.3,21.5,636.6,207.3,120.2,29.1,0.9,17.6,0.8,3.4,1.3,32.7
Enfield - Winchmore Hill,00AKHH,E05000213,13700.0,2550.0,9050.0,2100.0,18.6,66.0,15.4,39.3,39.0,2.8,4928.6,23.8,27.0,8.1,58.2,81.4,82.9,6.6,19.3,102.6,0.4,1.0,6715.0,75.1,3700.0,0.4,18.2,435000.0,205.0,45880.0,5470.0,8.7,31.0,19.9,40.3,69.9,6.4,22.2,4.2,54.2,41.7,8.4,6.6,2.7,1.8,7.2,2.7,35.1,491.0,37.5,351.0,0.7,15.4,42.9,767.7,227.5,43.7,9.2,0.5,25.2,1.2,2.9,1.4,38.5
Greenwich - Abbey Wood,00ALGP,E05000214,16200.0,4300.0,10250.0,1650.0,26.4,63.4,10.2,33.8,33.0,2.7,5722.2,46.3,32.0,7.6,86.1,76.0,82.3,16.6,28.8,116.8,0.5,3.0,6347.0,63.6,1800.0,0.2,35.9,250000.0,118.0,31540.0,6053.0,3.1,10.5,48.6,37.5,44.4,38.9,15.2,36.0,63.8,0.2,20.6,17.2,7.1,3.6,23.0,10.6,51.2,97.0,100.0,301.1,1.2,25.3,24.2,683.8,206.7,77.6,28.6,1.5,44.0,0.7,3.1,1.0,29.0
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,13300.0,2300.0,8950.0,2000.0,17.3,67.6,15.1,39.3,38.0,2.1,6047.6,16.9,23.0,5.2,59.0,80.7,82.5,6.8,21.9,108.8,0.5,0.0,6675.0,75.5,2800.0,0.3,21.1,427500.0,262.0,49160.0,6380.0,7.8,13.2,12.8,66.3,49.9,22.4,25.4,12.2,67.6,20.3,10.3,8.7,3.6,1.6,10.6,2.8,43.4,344.0,87.5,327.4,1.2,12.1,57.5,754.4,216.3,76.6,16.1,0.2,15.4,0.8,3.4,4.8,43.8
Greenwich - Charlton,00ALGR,E05000216,14650.0,3300.0,9700.0,1650.0,22.6,66.2,11.2,35.2,34.0,2.0,7050.0,36.2,31.0,9.4,76.0,76.3,80.0,12.8,26.4,108.5,0.5,0.0,6572.0,67.7,2400.0,0.2,49.7,363000.0,173.0,37940.0,5869.0,3.0,17.8,31.7,47.5,41.7,41.1,15.9,36.8,62.0,1.2,17.1,14.8,5.5,3.1,18.5,7.6,51.7,146.0,100.0,316.2,1.4,20.8,37.2,708.9,214.3,60.7,21.0,0.7,31.5,0.7,4.0,3.1,37.0
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,13450.0,2350.0,8650.0,2450.0,17.4,64.5,18.1,40.3,40.0,2.5,5180.0,18.3,15.6,3.6,59.6,78.4,84.0,10.5,21.9,116.3,0.7,0.0,5957.0,70.7,1500.0,0.2,10.8,325000.0,239.0,38390.0,5231.0,5.4,55.4,14.6,24.6,65.5,23.5,9.8,11.8,85.0,3.2,13.1,9.0,4.9,1.9,14.7,4.1,42.4,338.0,62.5,319.5,0.8,25.4,23.4,688.8,208.7,58.1,17.0,0.4,20.0,1.1,2.9,1.2,33.8
Greenwich - Eltham North,00ALGT,E05000218,12900.0,2250.0,8250.0,2400.0,17.6,63.9,18.5,41.2,42.0,2.6,4788.5,11.3,13.9,3.4,55.3,81.1,86.6,6.8,16.1,99.6,0.5,2.0,6087.0,75.1,3400.0,0.4,9.1,345000.0,178.0,43120.0,5249.0,3.4,34.1,41.7,20.9,73.1,17.0,8.4,11.5,78.7,9.8,10.0,6.9,3.2,1.7,8.4,2.7,38.4,457.0,25.0,339.0,0.7,20.0,31.8,755.9,214.7,67.2,17.4,0.3,24.6,1.1,2.9,2.2,43.4
Greenwich - Eltham South,00ALGU,E05000219,13100.0,2050.0,8950.0,2050.0,15.8,68.5,15.7,37.9,34.0,4.6,2717.4,16.8,17.5,4.6,49.9,79.8,84.8,12.1,24.3,130.3,0.8,2.0,5537.0,64.9,5500.0,0.6,20.9,288750.0,218.0,37120.0,5224.0,7.1,28.6,19.8,44.4,59.8,22.4,15.0,19.4,66.5,14.1,12.6,9.3,3.8,2.4,19.0,4.8,50.0,306.0,75.0,352.5,1.2,21.5,25.1,703.8,211.2,75.9,19.8,0.6,54.6,1.0,3.3,1.6,32.3
Greenwich - Eltham West,00ALGW,E05000220,12500.0,2700.0,8350.0,1450.0,21.5,66.9,11.6,36.2,35.0,2.4,4666.7,24.6,21.3,6.4,64.7,76.6,81.7,13.8,24.4,129.4,0.4,3.0,4374.0,64.0,1600.0,0.2,13.3,315500.0,226.0,34250.0,3859.0,3.1,43.9,38.5,14.5,45.3,44.1,8.3,8.7,88.8,2.5,17.7,15.2,5.3,3.0,23.6,7.3,49.5,100.0,100.0,310.9,1.6,30.8,21.2,690.1,211.8,59.9,18.4,0.2,30.5,0.9,3.1,1.5,27.8
Greenwich - Glyndon,00ALGX,E05000221,18500.0,4350.0,12750.0,1400.0,23.6,68.8,7.6,32.8,32.0,1.7,10441.2,55.0,42.2,13.8,89.1,75.3,78.8,14.1,24.7,113.6,0.5,1.0,7961.0,62.5,3500.0,0.3,62.6,224995.0,181.0,31690.0,6881.0,3.4,8.9,36.2,51.5,30.4,41.4,24.7,40.7,59.3,0.0,19.7,17.3,6.3,4.0,21.7,8.7,49.2,73.0,100.0,317.5,1.8,21.4,28.6,687.1,203.2,60.9,25.5,0.6,32.6,0.6,4.0,1.3,28.1
Greenwich - Greenwich West,00ALGY,E05000222,18450.0,3450.0,13550.0,1450.0,18.8,73.3,7.9,33.1,32.0,2.8,6053.6,33.3,34.8,9.7,56.7,79.4,82.7,11.1,25.2,117.9,1.1,4.0,8485.0,68.6,8000.0,0.6,46.4,450000.0,897.0,42270.0,7359.0,2.0,4.9,21.3,71.7,32.0,35.7,28.8,32.6,50.4,17.0,13.4,12.9,3.4,2.4,17.7,6.0,46.2,230.0,100.0,310.9,1.4,12.8,49.9,642.9,210.4,104.0,25.0,0.6,49.0,0.6,4.6,4.2,35.9
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,14650.0,2900.0,9950.0,1850.0,19.7,67.7,12.5,36.7,35.0,2.4,5854.2,33.6,27.3,7.6,64.9,79.7,83.0,11.0,24.1,106.6,0.4,1.0,6525.0,67.3,1600.0,0.2,29.6,260050.0,223.0,35740.0,5968.0,4.0,31.0,29.4,35.7,50.1,32.1,15.9,17.6,78.5,3.9,16.2,12.6,5.7,2.5,20.6,6.3,48.5,198.0,100.0,313.1,1.6,23.7,30.8,743.4,218.5,70.3,23.5,0.3,28.2,0.9,2.6,2.8,29.2
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,13900.0,2900.0,8850.0,2200.0,20.8,63.5,15.7,37.9,37.0,3.3,4045.5,24.0,22.3,5.6,67.6,79.2,83.7,11.5,25.0,113.6,0.5,1.0,5652.0,65.6,2100.0,0.2,20.4,292755.0,170.0,35340.0,5693.0,8.5,23.0,27.0,41.5,50.4,37.3,10.9,11.8,79.0,9.2,18.5,15.1,6.2,3.4,25.5,7.3,51.5,147.0,100.0,329.3,1.8,25.5,29.6,714.3,209.2,64.4,21.9,0.6,37.0,0.9,2.3,2.8,34.3
Greenwich - Peninsula,00ALHB,E05000225,24500.0,4650.0,18350.0,1500.0,19.0,74.8,6.2,32.9,31.0,4.5,4155.6,30.6,33.0,10.4,46.6,78.0,84.5,7.0,20.3,136.8,1.3,7.0,7798.0,74.2,11400.0,0.8,42.8,379000.0,516.0,41840.0,6436.0,1.7,5.8,40.1,52.3,36.8,30.6,30.0,28.2,68.7,3.1,13.6,9.6,3.1,1.6,18.1,4.6,51.3,277.0,100.0,302.8,1.4,15.0,49.5,723.8,213.7,107.6,18.7,0.2,33.7,0.6,4.5,4.3,35.2
Greenwich - Plumstead,00ALHC,E05000226,17050.0,3950.0,11550.0,1600.0,23.1,67.6,9.3,34.0,33.0,2.4,6854.2,55.4,41.7,14.6,81.0,78.4,83.1,14.1,25.3,118.3,1.0,1.0,7282.0,63.9,1900.0,0.2,84.1,249000.0,159.0,32390.0,6047.0,5.4,15.1,51.9,27.7,47.4,27.3,23.3,29.7,70.3,0.0,16.3,15.4,5.2,3.4,17.4,8.1,47.4,170.0,100.0,305.6,1.5,21.6,25.2,712.8,208.5,78.7,30.6,1.1,41.0,0.7,3.6,0.9,31.1
Greenwich - Shooters Hill,00ALHD,E05000227,13750.0,2750.0,9050.0,1900.0,20.2,66.0,13.8,38.0,38.0,3.8,3486.8,33.5,23.8,5.2,69.3,80.3,85.0,12.8,22.7,86.2,0.1,0.0,6242.0,69.5,2000.0,0.2,18.0,270000.0,196.0,39030.0,5487.0,5.5,27.4,42.9,24.2,64.3,19.5,14.4,18.3,79.6,2.2,13.0,9.0,4.5,2.5,13.9,5.1,41.1,320.0,88.9,320.1,1.0,19.4,31.3,714.4,209.0,46.3,16.4,0.1,57.2,1.0,2.4,2.2,37.4
Greenwich - Thamesmead Moorings,00ALHE,E05000228,22200.0,6450.0,14600.0,1150.0,29.1,65.8,5.1,29.8,30.0,4.8,4218.8,57.6,41.8,12.1,92.2,76.4,77.8,16.9,28.9,97.3,0.4,2.0,8273.0,62.9,5800.0,0.4,48.1,190000.0,152.0,34450.0,7034.0,5.6,14.6,34.0,45.8,32.7,38.0,25.3,33.0,66.9,0.1,16.0,16.3,4.7,3.8,18.9,11.0,49.9,180.0,100.0,311.5,1.2,18.7,32.4,711.0,210.0,70.5,24.0,1.5,55.4,0.7,2.6,1.0,25.7
Greenwich - Woolwich Common,00ALHF,E05000229,19550.0,5250.0,13100.0,1200.0,26.7,67.0,6.2,30.7,30.0,2.6,6903.8,57.6,41.8,13.6,85.8,76.7,81.7,14.0,26.6,184.7,1.0,2.0,7113.0,60.5,7900.0,0.6,67.0,267500.0,235.0,30260.0,6696.0,3.3,7.6,27.0,62.2,21.9,50.0,24.7,52.5,47.2,0.3,20.8,18.2,6.0,4.9,20.2,10.2,49.8,22.0,100.0,313.0,1.3,21.8,26.7,669.2,200.4,103.0,35.0,0.6,39.4,0.6,4.0,2.5,27.1
Greenwich - Woolwich Riverside,00ALHG,E05000230,23050.0,5550.0,16050.0,1450.0,24.0,69.7,6.3,31.3,31.0,3.2,6359.4,49.0,39.4,13.3,79.5,75.9,80.3,15.4,24.1,146.8,1.1,7.0,8681.0,64.7,11500.0,0.8,54.8,266250.0,262.0,33540.0,8361.0,1.4,4.8,16.0,77.7,19.0,50.0,25.2,55.1,44.8,0.1,20.3,16.4,5.5,3.8,22.0,9.8,52.6,33.0,100.0,309.0,1.7,19.9,35.2,667.2,206.7,112.8,35.0,0.4,34.9,0.5,4.5,1.6,28.8
Hackney - Brownswood,00AMGA,E05000231,13300.0,1850.0,10700.0,750.0,13.8,80.5,5.7,33.4,31.0,0.8,15187.5,38.2,42.7,18.6,45.1,76.9,85.2,15.0,28.8,133.5,0.9,4.0,6334.0,72.0,1200.0,0.1,53.6,440000.0,221.0,40070.0,5203.0,1.3,4.0,7.4,87.2,26.1,32.0,38.5,24.0,70.9,5.1,16.4,15.8,5.3,2.7,30.0,5.3,54.7,71.0,100.0,295.0,1.1,14.1,51.7,656.5,211.2,87.3,27.6,0.3,25.6,0.4,6.1,10.8,35.4
Hackney - Cazenove,00AMGB,E05000232,13800.0,4050.0,8850.0,850.0,29.3,64.4,6.3,29.6,29.0,0.7,19214.3,43.3,36.4,16.4,97.7,83.6,86.7,12.1,24.5,62.5,0.4,1.0,5744.0,64.8,1800.0,0.2,39.6,375000.0,77.0,38130.0,4860.0,2.0,4.7,15.8,77.7,25.7,33.8,37.2,34.7,54.2,11.1,14.3,22.2,4.7,3.4,11.6,7.2,49.2,110.0,100.0,320.4,0.8,23.5,35.6,624.3,206.1,49.7,16.3,0.0,12.8,0.4,4.7,12.4,33.9
Hackney - Chatham,00AMGC,E05000233,13950.0,2950.0,10050.0,950.0,21.1,72.0,6.9,32.5,31.0,0.9,15055.6,54.4,41.3,14.4,64.9,78.0,82.7,17.4,23.8,165.2,0.8,5.0,5930.0,63.0,6600.0,0.7,47.1,415000.0,220.0,32510.0,5732.0,1.6,2.8,14.2,81.5,20.3,51.0,24.6,46.9,52.4,0.6,22.1,23.7,7.3,5.0,27.4,9.7,55.1,13.0,100.0,326.3,1.0,21.1,37.6,680.5,212.9,115.3,41.2,0.6,20.4,0.4,5.8,14.8,31.8
Hackney - Clissold,00AMGD,E05000234,12650.0,2450.0,9300.0,950.0,19.3,73.4,7.4,34.0,33.0,0.7,17642.9,34.7,32.0,10.6,49.3,79.0,82.6,8.9,17.6,107.6,0.7,1.0,6683.0,73.3,1600.0,0.2,26.7,499950.0,150.0,45450.0,5316.0,1.4,2.8,23.4,72.4,37.0,34.0,25.7,25.9,67.2,6.9,13.8,15.0,5.9,2.5,15.9,5.5,45.8,160.0,100.0,345.6,0.7,14.3,53.5,728.5,218.3,75.4,19.5,0.5,12.3,0.5,3.6,18.9,38.4
Hackney - Dalston,00AMGE,E05000235,15950.0,2650.0,12300.0,1000.0,16.6,77.1,6.3,33.4,31.0,0.9,17000.0,44.5,40.8,14.0,48.8,78.9,82.1,10.6,26.7,138.4,1.3,4.0,8021.0,70.4,5100.0,0.4,47.1,485000.0,151.0,38230.0,6608.0,1.8,4.0,14.9,79.2,23.1,38.9,34.0,32.3,65.2,2.4,20.8,19.1,5.8,3.8,29.8,6.4,50.0,21.0,100.0,332.3,1.3,15.9,48.6,680.0,204.7,158.6,40.5,0.4,17.1,0.4,6.0,18.3,31.6
Hackney - De Beauvoir,00AMGF,E05000236,15200.0,2400.0,11700.0,1050.0,15.8,77.1,7.1,33.6,31.0,0.9,16000.0,39.9,37.8,11.7,51.5,76.6,80.6,13.7,30.3,98.0,0.5,2.0,7456.0,71.1,4200.0,0.4,45.9,480000.0,187.0,39060.0,6138.0,1.0,5.8,11.2,81.9,23.9,39.9,29.8,32.2,56.0,11.7,16.1,16.5,4.6,3.2,28.9,6.4,55.0,68.0,100.0,314.9,1.4,15.6,49.8,684.5,203.8,147.9,34.1,0.6,14.2,0.4,4.9,14.1,33.0
Hackney - Hackney Central,00AMGG,E05000237,13200.0,2300.0,9850.0,1000.0,17.5,74.7,7.7,34.0,32.0,0.8,16000.0,52.7,40.5,12.8,53.2,77.3,82.5,14.4,25.6,149.8,1.1,2.0,6240.0,66.6,6900.0,0.7,38.5,450000.0,117.0,35260.0,5618.0,1.6,3.7,11.7,83.0,19.7,50.7,27.0,38.7,59.6,1.7,19.6,21.8,6.4,3.8,25.1,7.6,52.1,23.0,100.0,328.0,1.2,18.4,42.0,678.0,208.1,114.6,35.4,0.3,14.1,0.3,6.7,16.9,38.2
Hackney - Hackney Downs,00AMGH,E05000238,13400.0,2600.0,9800.0,1000.0,19.5,73.0,7.5,33.6,32.0,1.0,13100.0,51.7,39.5,15.5,65.9,77.6,83.2,10.7,25.7,95.8,0.6,4.0,6214.0,65.1,1400.0,0.1,38.6,433000.0,153.0,35700.0,5641.0,2.1,3.4,14.8,79.6,24.4,43.1,29.3,33.0,64.2,2.9,19.8,20.4,6.6,4.3,25.5,7.5,52.8,20.0,100.0,318.0,1.1,19.3,42.2,735.7,216.6,80.0,25.2,0.3,33.8,0.4,5.5,17.7,35.6
Hackney - Haggerston,00AMGJ,E05000239,15250.0,2200.0,12150.0,900.0,14.5,79.7,5.8,32.7,31.0,1.2,12166.7,45.6,45.9,17.4,34.8,78.0,82.2,13.5,29.0,179.9,3.6,9.0,7346.0,67.4,34000.0,2.9,87.4,452500.0,280.0,36080.0,6377.0,0.9,1.3,4.5,93.3,16.1,44.1,36.2,46.1,51.1,2.9,16.6,17.1,5.3,3.2,29.2,7.5,54.9,10.0,100.0,295.3,1.2,16.1,45.8,638.2,201.0,162.3,40.6,0.6,19.1,0.3,5.7,11.9,28.1
